Offence,1993,1994,1995,1996,1997,1998,1999(a),2000,2001,2002,2003,2004,2005,2006,2007(b),2008(b),2009(b)(c)(d),2010(b)(e),2011,2012,2013,2014,2015,2016,2017,2018(f),2019(g),2020
,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(h),697,658,657,686,679,718,745,756,809,766,698,616,575,562,532,528,529,460,470,449,434,423,418,453,430,375,415,396
Murder,293,291,323,311,321,282,341,315,313,315,303,263,261,283,254,266,260,233,245,246,245,242,233,227,208,221,225,221
Attempted murder,363,337,301,332,319,387,357,394,458,399,356,310,272,244,249,237,237,204,185,159,164,150,157,200,179,126,145,123
Manslaughter,40,29,27,39,36,49,45,45,33,49,36,36,42,39,31,31,31,29,32,46,23,24,29,26,44,29,43,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault(i),"12,190","12,722","13,104","14,556","14,403","14,672","14,699","16,408","17,579","18,715","18,024","19,169","18,697","19,552","19,955","19,995","18,941","18,862","18,616","19,448","20,025","20,741","21,948","23,040","25,837","26,325","26,860","27,505"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction(j),625,546,457,477,560,707,767,693,766,708,694,769,730,727,730,788,570,611,676,638,596,550,529,539,480,444,526,402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robbery,"12,767","13,968","14,567","16,371","21,307","23,804","22,607","23,333","26,590","20,990","19,708","16,511","17,175","17,374","17,993","16,514","15,248","14,634","13,650","13,161","11,711","9,893","8,968","9,412","9,592","10,128","11,774","9,409"
Armed robbery,"5,295","5,043","5,257","6,259","9,054","10,849","9,455","9,480","11,233","7,840","7,186","6,030","7,330","7,599","7,657","6,728","6,530","5,696","5,977","6,224","5,631","4,857","4,657","4,990","4,758","4,920","5,793","4,746"
Unarmed robbery,"7,472","8,922","9,307","10,116","12,252","12,958","13,156","13,850","15,359","13,151","12,520","10,483","9,852","9,782","10,338","9,790","8,720","8,937","7,673","6,939","6,076","5,035","4,315","4,427","4,831","5,211","5,982","4,666"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackmail/extortion,132,153,154,266,363,266,258,256,353,358,387,371,389,446,426,419,646,479,424,445,509,531,523,543,537,572,568,522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlawful entry with intent(k)(l),"381,783","379,507","385,216","402,078","421,568","434,316","415,736","436,968","435,752","394,320","354,017","308,672","281,994","262,005","248,474","241,758","222,712","208,098","209,146","215,009","194,529","181,892","184,007","188,757","176,286","168,983","173,347","133,870"
Involving the taking of property(m),np,np,"303,283","313,899","332,528","339,510","322,984",np,"325,221","292,748","262,660","226,399","202,847","183,734","173,377","168,965","156,363","144,193","144,598","147,216","132,138","122,954","122,856","125,900","115,935","110,154","112,548","83,358"
Other,np,np,"81,936","88,178","89,046","94,812","92,753",np,"110,537","101,577","91,360","82,277","79,153","78,270","75,099","72,798","66,353","63,906","64,542","67,790","62,392","58,932","61,148","62,853","60,349","58,824","60,804","50,513"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motor vehicle theft,"112,472","119,469","127,097","122,915","130,136","131,572","129,553","138,915","139,895","113,458","98,295","87,936","80,368","75,377","70,615","68,262","58,968","54,819","56,074","58,559","52,508","50,182","51,525","56,048","52,441","53,384","57,987","48,056"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other theft(n),np,np,"490,527","522,222","530,881","563,194","612,556","681,266","700,140","680,800","624,036","548,775","518,333","518,733","491,936","497,051","480,336","477,265","501,295","512,352","493,540","485,374","509,649","537,278","510,392","537,558","569,243","436,615"
,Victimisation rate(o),,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(h),4.0,3.7,3.6,3.8,3.7,3.9,4.0,4.0,4.2,3.9,3.5,3.1,2.9,2.7,2.6,2.5,2.4,2.1,2.1,2.0,1.9,1.8,1.8,1.9,1.7,1.5,1.6,1.5
Murder,1.7,1.6,1.8,1.7,1.7,1.5,1.8,1.7,1.6,1.6,1.5,1.3,1.3,1.4,1.2,1.3,1.2,1.1,1.1,1.1,1.1,1.0,1.0,0.9,0.8,0.9,0.9,0.9
Attempted murder,2.1,1.9,1.7,1.8,1.7,2.1,1.9,2.1,2.4,2.0,1.8,1.6,1.3,1.2,1.2,1.1,1.1,0.9,0.8,0.7,0.7,0.6,0.7,0.8,0.7,0.5,0.6,0.5
Manslaughter,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault(i),69.1,71.5,72.8,79.9,78.2,78.9,78.1,86.2,91.2,96.0,91.4,96.2,92.7,95.6,95.8,94.1,87.3,85.6,83.3,85.6,86.6,88.4,92.2,95.3,105.1,105.3,105.9,107.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction(j),3.5,3.1,2.5,2.6,3.0,3.8,4.1,3.6,4.0,3.6,3.5,3.9,3.6,3.6,3.5,3.7,2.6,2.8,3.0,2.8,2.6,2.3,2.2,2.2,2.0,1.8,2.1,1.6
