,Case total
Alpine,1
Ararat,8
Ballarat,58
Banyule,450
Bass,10
Baw,17
Bayside,267
Benalla,4
Boroondara,263
Brimbank,2025
Campaspe,10
Cardinia,208
Casey,1063
Central,2
Colac-Otway,139
Corangamite,4
Darebin,673
East,8
Frankston,242
Gannawarra,2
Glen,224
Glenelg,19
Golden,19
Greater,101
Greater.1,539
Greater.2,368
Greater.3,53
Hepburn,3
Hobsons,517
Horsham,14
Hume,1634
Indigo,1
Interstate,107
Kingston,301
Knox,165
Latrobe,53
Loddon,5
Macedon,58
Manningham,165
Mansfield,10
Maribyrnong,581
Maroondah,106
Melbourne,922
Melton,1150
Mildura,6
Mitchell,93
Moira,10
Monash,352
Moonee,808
Moorabool,37
Moreland,1055
Mornington,184
Mount,9
Moyne,2
Murrindindi,9
Nillumbik,147
Northern,3
Overseas,29
Port,302
Pyrenees,3
Queenscliffe,1
South,14
Southern,2
Stonnington,256
Strathbogie,2
Surf,12
Swan,6
Unknown,90
Wangaratta,2
Warrnambool,14
Wellington,17
West,1
Whitehorse,211
Whittlesea,1192
Wodonga,2
Wyndham,2242
Yarra,443
Yarra.1,249
Yarriambiack,1
Grand Total,20375
